Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Namibia,,,,,3546.06,,,,,,6757.8,,,,,,,,,,,,,,,,,,,,,,,
Nauru,,,,,7.27,,,,,,5.4,,,5.75,,,,5.01,,,4.16,,,,,,,,,,,,,
Nepal,,,,,19917.87,,,,,,13666.59,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,1273.89,1290.11,1274.56,1257.36,1216.76,1187.96,1160.37,1095.13,1065.66,1015.31,971.18,944.68,899.56,868.6,853.27,794.98,777.31,779.27,788.38,779.56,776.24,754.38,737.53,737.02,720.33,728.1,733.16,720.49,692.35,462.53,310.22,295.55,485.66,399.45
New Zealand,1291.5,1296.49,1281.53,1289.93,1323.77,1339.87,1363.85,1390.8,1368.62,1378.44,1413.65,1428.94,1421.23,1426.54,1425.28,1434.28,1442.9,1405.3,1364.68,1371.45,1372.8,1377.58,1396.0,1399.32,1409.06,1388.3,1370.48,1370.2,1371.45,,,,,
Nicaragua,,,,,4129.86,,,,,,4269.32,,,,,,,,,,,,,,,,,,,,,,,
Niger,3436.34,,,,,,,,,,6762.0,,,,,,,,11550.0,,,,,,,,,,,,,,,
Nigeria,,,,,124155.28,,,,,,88179.0,,,,,,,,,,,,,,,,,,,,,,,
Niue,,,,,0.01,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,21.0,,,,,,,,,,,,,,
North Macedonia,1718.01,1702.17,1725.23,1735.54,1682.99,1695.67,1663.52,1666.16,1626.06,1608.99,1643.18,1639.95,1619.42,1694.56,1709.67,1661.84,1700.08,1642.74,1698.9,1655.86,1655.85,1655.86,1655.85,1655.86,1655.86,1655.86,1655.85,1655.86,1655.87,1150.34,741.95,707.13,1207.86,922.84
Norway,241.28,239.1,242.06,247.1,250.39,248.4,250.21,250.98,242.99,238.64,239.02,238.66,233.67,232.56,227.92,222.06,216.19,219.51,213.66,215.34,215.59,209.48,208.49,205.87,203.51,202.21,197.98,194.69,192.18,178.45,122.09,119.45,187.37,172.9
Oman,,,,,2607.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,,,,,12.52,13.57,26.11,78.91,164.92,40.77,4.32,,,,,4.56,,,,,,,,,,,,,,,,,,
Panama,,,,,3584.07,,,,,,3153.15,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,,,,,89.67,,,,,,1177.47,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,16922.95,,,,13071.45,,,,,,11475.03,,,,,14269.71,,,,,,18812.43,19272.33,,,,,,,,,,,
Peru,,,,,13394.64,,,,,,20013.0,,,,,,,,,,21863.13,,22157.0,,,,,,,,,,,
Philippines,,,,,28931.91,,,,,,31797.57,,,,,,,,,,,,,,,,,,,,,,,
Poland,2791.88,2596.41,2524.18,2448.73,2418.72,2358.98,2324.27,2313.32,2228.43,2179.31,2123.87,2194.7,2130.63,2134.79,2123.03,2139.04,2147.65,2113.2,2106.08,2053.54,2046.25,1999.69,1989.74,1995.17,1969.88,1992.23,1970.84,1969.51,1950.13,1386.27,875.4,820.22,1455.58,1083.24
Portugal,383.61,388.5,390.48,392.83,397.97,404.25,411.66,419.39,427.45,436.92,444.85,444.58,445.09,445.21,445.39,442.69,438.7,430.65,421.27,414.08,406.14,401.99,392.26,382.66,377.42,368.8,365.69,366.73,365.06,240.86,164.57,157.64,252.9,224.05
Qatar,,,,,,,,,,,,,,,,,,3529.34,,,,,,,,,,,,,,,,
Republic of Korea,30300.9,30205.14,29596.98,29031.66,29016.33,28631.61,28968.87,29167.74,27909.84,27573.0,27539.4,27836.34,27971.37,27944.28,27013.98,26943.0,26881.26,26538.75,26482.47,26481.84,26902.68,26582.01,26546.52,26507.25,26032.44,25988.34,25993.59,,,,,,,
Republic of Moldova,4872.37,4723.61,4585.21,4317.9,4192.05,3953.43,3813.98,3406.52,3249.25,3041.84,2913.84,2846.19,2844.41,2764.02,2723.28,2755.51,2664.37,2585.99,2648.82,2633.2,2702.71,2733.55,2693.29,2693.7,,,,,,,,,,
Romania,2400.7,2053.34,1887.9,1820.46,1805.59,1843.92,1836.65,1992.59,1891.75,1834.66,1453.18,1394.66,1490.61,1540.35,1484.41,1506.48,1482.22,1444.34,1407.33,1338.49,1241.47,1207.96,1227.76,1206.34,1201.07,1181.77,1160.47,1148.26,1127.35,831.0,546.85,512.1,872.55,631.39
Russian Federation,18549.43,17644.54,16514.65,15779.66,14696.56,14055.37,13502.88,13010.52,12527.89,12491.63,12680.6,12946.2,12982.81,13472.68,13738.63,13857.05,14116.86,14255.97,14393.24,13494.73,14077.99,14405.47,14587.07,14583.82,14543.97,14520.47,14675.23,15355.99,15841.35,,,,,
Rwanda,,,,,,,,,,,,,1261.07,,,1508.12,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,595.78,,,,,,80.23,,,,,84.71,,,,,87.78,,,,,,,,,,,,,
Saint Vincent and the Grenadines,62.11,,,,62.29,,,64.38,,,66.8,,,,66.78,,,,,,,,,,,,,,,,,,,
Samoa,,,,,69.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,3.4,3.4,3.4,3.41,3.4,3.41,3.4,3.41,3.4,3.41,3.4,3.41,3.4,3.39,3.4,3.4,3.4,3.41,3.19,2.99,2.78,2.79,2.78,2.78,2.78,2.78,2.78,2.77,2.78,141.75,98.57,99.71,149.72,150.5
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,21.34,,,,,,,,,,,
Saudi Arabia,16526.99,,,,,,,,,,27551.81,,,,,,,,,,43401.23,,37360.05,,,,,,,,,,,
Senegal,,,,,,,,,,,6475.48,,,,,6224.4,,,,,,,,,,,,,,,,,,
Serbia,9081.66,9060.79,9039.92,9019.05,8998.18,8977.32,8956.45,8935.58,8914.71,8914.71,8914.71,8914.7,8914.71,8914.71,8914.71,8914.71,8914.71,8914.7,8914.71,8914.7,8914.71,8914.72,8914.71,8914.7,8914.71,8914.72,8914.71,8914.72,8914.71,6351.45,4055.84,3936.67,6669.02,5183.58
